age,count
18,128
26,101
21,96
23,89
19,59
20,48
22,39
17,30
24,18
25,16
27,14
33,13
29,11
16,9
30,8
41,7
38,7
40,6
34,5
31,4
39,3
32,3
45,3
35,3
36,3
37,3
21.962.426,2
2.181.119,2
1.630.687,2
25.540.865,2
25.930.376,2
25.783.865,2
25.902.283,2
25.653.233,2
55,2
30.242.597,1
25.539.411,1
30.958.051,1
30.304.203,1
3.355.336,1
40.794.057,1
31.194.458,1
25.300.208,1
25.478.662,1
26.774.115,1
30.520.854,1
28.704.462,1
20.027.764,1
24.001.685,1
25.100.513,1
21.963.787,1
38.523.646,1
29.429.687,1
30.610.436,1
31.346.845,1
26.957.645,1
34.576.714,1
31.689.773,1
24.201.622,1
30.577.343,1
22.908.879,1
27.558.801,1
26.490.926,1
29.883.021,1
26.740.655,1
25.486.521,1
25.124.595,1
25.883.749,1
25.509.034,1
28.825.279,1
37.056.193,1
26.680.376,1
22.276.969,1
30.870.724,1
4.050.021,1
2.783.173,1
2.482.929,1
31.457.413,1
30.605.225,1
25.498.751,1
27.991.467,1
28.363.149,1
26.225.442,1
34.139.453,1
26.945.139,1
30.421.596,1
27.562.425,1
32.707.653,1
37.186.795,1
25.314.589,1
30.200.946,1
19.850.524,1
1.888.061,1
24.739.421,1
23.260.061,1
23.432.227,1
22.705.772,1
23.454.558,1
3.062.865,1
31.755.387,1
252.984,1
24.145.295,1
23.963.649,1
21.556.361,1
36.542.885,1
3.186.893,1
29.827.481,1
30.710.511,1
28.712.995,1
25.717.522,1
2.515.462,1
3.002.019,1
20.013.906,1
24.041.043,1
3.871.216,1
29.906.575,1
32.259.623,1
30.493.946,1
40.106.145,1
245.822,1
24.417.552,1
25.058.566,1
25.027.254,1
3.136.347,1
31.194.323,1
30.607.546,1
24.825.398,1
26.607.478,1
25.036.269,1
27.474.245,1
28.493.397,1
27.439.056,1
29.620.095,1
25.846.279,1
26.050.109,1
3.229.016,1
40.174.191,1
27.186.873,1
30.424.369,1
23.141.402,1
30.684.347,1
31.034.092,1
2.793.982,1
28.393.111,1
30.796.262,1
31.743.821,1
25.139.466,1
25.136.116,1
30.003.358,1
28.404.332,1
22.789.402,1
20.101.026,1
26.947.786,1
24.079.971,1
23.083.621,1
22.832.105,1
24.178.638,1
33.174.147,1
26.684.354,1
2.347.007,1
24.244.029,1
2.463.474,1
22.889.099,1
22.658.572,1
3.908.886,1
37.084.742,1
19.045.357,1
29.721.964,1
24.521.879,1
30.188.303,1
30.350.516,1
30.002.029,1
25.447.208,1
20.184.451,1
30.686.701,1
24.007.488,1
22.906.342,1
24.443.011,1
24.408.805,1
24.920.362,1
31.783.845,1
31.627.962,1
22.976.188,1
30.475.248,1
28.992.809,1
29.687.488,1
30.403.205,1
32.867.331,1
33.749.594,1
40.366.238,1
25.314.163,1
25.341.399,1
29.246.269,1
29.509.151,1
240.409,1
24.000.307,1
21.544.554,1
21.721.507,1
40.973.007,1
22.977.357,1
18.945.961,1
3.912.631,1
20.720.639,1
26.032.416,1
33.226.808,1
39.685.846,1
38.748.307,1
32.895.637,1
29.633.715,1
25.920.738,1
26.015.448,1
25.955.361,1
20.580.984,1
23.090.215,1
20.418.832,1
18.063.582,1
18.078.256,1
21.052.016,1
21.077.356,1
18.011.903,1
31.335.093,1
18.107.092,1
26.220.065,1
24.565.628,1
20.338.815,1
2.102.064,1
2.332.471,1
22.735.328,1
22.969.366,1
37.441.044,1
39.129.291,1
22.847.618,1
2.287.795,1
21.001.458,1
22.815.416,1
42.586.285,1
23.096.353,1
22.857.123,1
22.804.818,1
22.676.243,1
22.693.989,1
39.648.946,1
4.337.634,1
43.719.395,1
3.079.626,1
29.622.804,1
38.683.794,1
31.387.982,1
24.317.607,1
23.474.165,1
30.967.417,1
29.389.239,1
40.702.771,1
41.403.862,1
22.480.889,1
22.679.454,1
35.322.112,1
38.547.267,1
23.237.302,1
24.184.891,1
39.656.559,1
36.023.972,1
21.834.894,1
21.872.484,1
31.641.081,1
31.630.054,1
17.052.914,1
1.804.892,1
22.875.223,1
22.884.722,1
17.073.648,1
19.034.033,1
38.098.745,1
39.213.399,1
20.491.475,1
19.524.698,1
22.469.351,1
22.352.025,1
18.166.318,1
19.431.662,1
2.172.738,1
21.016.665,1
21.980.847,1
21.106.056,1
18.603.496,1
21.011.124,1
18.729.566,1
23.668.137,1
21.895.468,1
213.928,1
21.682.636,1
19.515.324,1
20.803.186,1
21.688.557,1
22.200.779,1
22.829.681,1
22.956.845,1
19.275.687,1
19.374.207,1
21.624.552,1
20.924.808,1
20.654.752,1
20.993.067,1
22.088.059,1
22.336.216,1
18.152.876,1
20.206.358,1
18.140.751,1
21.856.301,1
21.962.219,1
20.534.089,1
3.929.266,1
37.872.971,1
21.353.237,1
21.379.676,1
1.810.682,1
18.024.744,1
27.968.765,1
24.481.032,1
23.246.702,1
28.421.533,1
29.409.825,1
43.726.081,1
41.318.302,1
37.063.599,1
31.347.497,1
17.412.629,1
18.611.197,1
37.471.683,1
37.613.378,1
20.975.973,1
2.417.851,1
18.178.076,1
31.783.524,1
22.126.325,1
23.329.344,1
22.927.011,1
3.667.933,1
39.569.004,1
21.746.113,1
21.587.743,1
29.681.308,1
37.974.483,1
23.099.906,1
38.397.463,1
23.479.181,1
24.473.062,1
38.445.148,1
40.466.313,1
25.696.736,1
26.011.928,1
18.907.514,1
21.679.158,1
36.673.882,1
37.936.044,1
22.226.815,1
22.177.099,1
22.719.385,1
21.797.388,1
20.677.105,1
23.652.435,1
23.803.904,1
26.826.961,1
2.595.383,1
38.542.937,1
40.654.155,1
40.789.529,1
38.895.069,1
22.997.168,1
2.289.974,1
22.362.877,1
22.307.413,1
22.538.932,1
30.108.216,1
24.622.054,1
31.761.799,1
25.966.504,1
25.954.995,1
25.909.353,1
2.595.774,1
24.063.874,1
23.712.641,1
20.801.791,1
20.848.608,1
25.950.898,1
25.311.534,1
21.051.982,1
24.291.205,1
19.783.234,1
18.904.037,1
20.074.449,1
19.993.565,1
2.081.158,1
20.601.222,1
2.369.484,1
25.908.829,1
19.297.004,1
18.301.773,1
19.872.667,1
21.291.969,1
20.102.241,1
21.022.206,1
20.388.049,1
21.282.238,1
21.028.989,1
21.760.734,1
21.656.907,1
21.210.732,1
21.289.104,1
20.781.751,1
20.908.785,1
25.524.336,1
25.493.586,1
25.795.187,1
2.542.724,1
1.813.782,1
23.455.303,1
21.391.371,1
30.976.932,1
25.999.185,1
21.840.654,1
20.190.733,1
19.137.495,1
25.498.965,1
25.816.445,1
1.947.219,1
20.327.723,1
25.934.757,1
23.426.036,1
21.413.498,1
22.980.221,1
20.951.084,1
21.030.909,1
25.617.227,1
25.989.938,1
2.596.773,1
25.612.462,1
24.475.242,1
20.871.667,1
21.501.721,1
21.521.294,1
18.314.593,1
21.140.165,1
2.277.789,1
21.412.434,1
25.959.772,1
25.748.627,1
25.982.113,1
25.986.185,1
18.120.739,1
20.089.969,1
21.704.699,1
18.744.914,1
25.565.662,1
25.918.524,1
25.919.571,1
21.238.416,1
21.768.153,1
19.529.746,1
20.530.998,1
18.976.968,1
20.924.956,1
18.423.482,1
18.469.086,1
19.012.872,1
21.131.526,1
19.364.339,1
19.528.936,1
21.330.178,1
20.217.015,1
20.394.082,1
18.862.264,1
2.128.253,1
24.693.108,1
24.284.833,1
24.196.367,1
23.647.935,1
21.568.951,1
2.167.447,1
20.978.166,1
20.952.737,1
21.572.114,1
21.680.123,1
24.469.756,1
2.512.791,1
24.361.936,1
22.524.036,1
21.982.942,1
20.976.842,1
21.285.965,1
21.682.367,1
21.016.849,1
25.765.628,1
25.722.004,1
25.777.565,1
25.974.446,1
25.992.348,1
25.996.716,1
25.955.014,1
2.597.731,1
25.951.979,1
25.986.368,1
25.994.949,1
25.964.788,1
25.962.949,1
1.820.634,1
21.394.047,1
20.323.767,1
18.743.587,1
25.976.209,1
25.988.668,1
25.993.154,1
25.991.194,1
25.907.833,1
25.999.636,1
25.940.153,1
25.921.678,1
1.894.093,1
18.826.782,1
23.421.726,1
23.365.041,1
25.999.942,1
25.999.174,1
21.838.323,1
18.532.826,1
21.008.297,1
20.438.478,1
21.232.659,1
21.635.977,1
21.695.892,1
20.741.442,1
20.700.876,1
18.634.286,1
19.035.557,1
25.895.546,1
25.834.018,1
25.561.868,1
25.696.073,1
25.289.428,1
25.470.652,1
25.982.261,1
25.951.737,1
25.992.898,1
20.796.266,1
21.566.815,1
19.262.934,1
21.322.097,1
31.571.392,1
37.765.356,1
37.638.102,1
26.348.156,1
25.659.092,1
26.699.317,1
26.734.476,1
30.717.727,1
30.577.944,1
30.554.956,1
31.199.261,1
30.595.632,1
29.669.219,1
30.899.219,1
31.205.668,1
29.791.101,1
30.638.944,1
33.293.166,1
30.315.784,1
28.255.199,1
27.931.432,1
25.492.855,1
25.550.506,1
3.156.724,1
31.490.699,1
30.945.369,1
24.186.273,1
23.826.684,1
22.771.001,1
22.758.998,1
26.899.886,1
27.635.029,1
27.266.287,1
26.199.321,1
28.377.958,1
26.778.684,1
29.891.473,1
29.981.494,1
25.758.307,1
25.542.454,1
40.501.722,1
40.564.513,1
30.451.174,1
39.825.592,1
23.327.836,1
23.745.833,1
37.597.953,1
30.605.464,1
31.010.302,1
30.916.426,1
30.722.801,1
25.140.074,1
25.062.942,1
24.149.036,1
23.975.685,1
23.812.795,1
25.015.173,1
22.829.753,1
216.548,1
37.997.912,1
37.588.628,1
23.411.141,1
36.839.761,1
30.361.365,1
33.789.301,1
25.879.411,1
25.822.348,1
25.523.127,1
25.526.746,1
24.912.254,1
27.394.123,1
29.713.169,1
28.986.237,1
23.360.307,1
20.156.664,1
24.001.196,1
24.006.271,1
22.343.204,1
23.254.934,1
22.851.721,1
22.580.038,1
34.161.998,1
30.444.081,1
31.190.219,1
21.344.018,1
20.520.992,1
25.998.646,1
21.051.107,1
18.367.481,1
20.989.016,1
20.941.943,1
20.891.491,1
21.768.834,1
20.871.153,1
18.112.503,1
30.575.349,1
18.177.882,1
25.908.431,1
25.991.886,1
24.497.373,1
20.590.046,1
2.596.701,1
24.265.943,1
18.771.001,1
22.846.357,1
19.885.655,1
25.897.815,1
25.968.792,1
19.725.718,1
18.378.203,1
24.449.655,1
2.376.197,1
21.772.251,1
21.001.969,1
25.954.511,1
21.009.596,1
21.633.056,1
21.207.423,1
1.917.614,1
25.291.974,1
25.943.827,1
203.756,1
18.222.536,1
21.700.748,1
18.335.019,1
21.056.059,1
2.101.245,1
22.978.655,1
23.319.635,1
32.516.469,1
33.722.449,1
26.624.342,1
24.825.393,1
38.112.989,1
38.644.441,1
3.810.894,1
37.207.082,1
25.426.457,1
25.047.945,1
2.501.277,1
2.566.668,1
253.292,1
25.137.087,1
25.151.286,1
25.057.878,1
30.702.559,1
23.881.938,1
23.912.387,1
21.334.585,1
24.982.997,1
21.305.402,1
2.239.251,1
18.147.705,1
18.233.541,1
25.919.241,1
26.844.812,1
25.512.048,1
20.914.366,1
20.068.432,1
3.064.243,1
3.071.516,1
24.002.404,1
24.001.889,1
23.147.644,1
22.906.886,1
2.405.331,1
24.511.445,1
37.532.066,1
22.720.449,1
22.936.098,1
21.413.642,1
24.023.972,1
19.816.949,1
22.717.249,1
26.358.919,1
2.908.107,1
18.128.206,1
22.667.596,1
21.029.633,1
19.637.947,1
23.572.648,1
19.623.574,1
21.017.383,1
30.958.957,1
22.549.208,1
21.868.932,1
36.769.646,1
35.125.401,1
21.845.025,1
32.593.129,1
16.941.489,1
16.172.992,1
2.371.259,1
22.429.812,1
21.033.794,1
26.758.516,1
2.839.124,1
19.816.228,1
18.270.434,1
1.947.554,1
18.026.457,1
31.539.393,1
29.740.496,1
17.451.085,1
18.610.761,1
18.297.229,1
19.076.443,1
37.218.161,1
23.172.982,1
35.194.089,1
33.700.749,1
18.836.315,1
21.618.246,1
20.850.119,1
18.281.092,1
17.823.438,1
22.176.922,1
21.708.354,1
21.310.907,1
17.671.064,1
17.203.917,1
19.349.258,1
19.054.938,1
21.142.432,1
18.094.079,1
19.735.968,1
18.019.572,1
19.071.027,1
16.910.997,1
19.317.148,1
2.299.368,1
20.738.469,1
18.656.912,1
19.994.543,1
20.255.616,1
19.865.895,1
41.823.567,1
19.114.981,1
21.963.457,1
25.191.627,1
21.125.836,1
2.669.858,1
18.381.382,1
19.434.709,1
19.639.431,1
19.946.244,1
19.269.079,1
19.029.494,1
17.362.129,1
17.000.752,1
17.925.497,1
18.470.562,1
17.888.073,1
26.650.419,1
21.012.542,1
19.993.154,1
33.251.015,1
20.901.393,1
18.236.087,1
18.869.151,1
20.979.254,1
19.429.723,1
19.478.533,1
18.871.917,1
18.985.119,1
33.100.581,1
35.483.601,1
17.781.183,1
18.947.102,1
19.726.522,1
1.883.919,1
16.093.234,1
16.865.984,1
1.638.009,1
23.367.212,1
1.708.525,1
25.785.925,1
26.787.842,1
21.037.514,1
38.692.265,1
21.165.574,1
21.571.288,1
33.732.714,1
23.118.327,1
23.562.135,1
18.845.518,1
21.420.537,1
2.031.094,1
20.261.925,1
39.965.474,1
38.939.448,1
19.241.058,1
21.052.894,1
21.731.497,1
2.670.371,1
2.100.829,1
23.801.436,1
21.837.058,1
21.071.195,1
32.997.118,1
2.932.038,1
21.198.217,1
21.987.341,1
38.943.282,1
37.455.752,1
21.909.534,1
21.938.831,1
32.501.143,1
23.170.309,1
16.950.499,1
18.900.253,1
22.740.275,1
23.451.595,1
21.086.512,1
22.283.082,1
4.224.475,1
1.921.638,1
19.741.202,1
31.255.587,1
22.851.773,1
19.789.291,1
19.895.877,1
23.245.408,1
30.613.586,1
30.255.744,1
21.832.995,1
26.047.077,1
28.825.223,1
27.899.784,1
21.016.623,1
21.012.569,1
21.620.245,1
21.701.643,1
19.337.404,1
21.455.463,1
21.687.409,1
21.652.229,1
19.226.314,1
19.693.804,1
22.935.612,1
17.282.945,1
40.993.179,1
18.426.619,1
20.954.955,1
22.377.998,1
19.329.542,1
17.120.699,1
17.908.114,1
16.270.434,1
17.000.433,1
17.082.867,1
19.920.629,1
20.406.871,1
17.486.869,1
16.198.153,1
17.038.222,1
24.163.526,1
32.383.858,1
29.970.445,1
19.314.964,1
18.827.008,1
22.991.668,1
19.300.435,1
17.065.445,1
19.084.967,1
17.210.933,1
18.274.358,1
1.770.368,1
19.556.729,1
20.400.053,1
1.994.814,1
1.853.084,1
1.848.207,1
17.402.028,1
21.785.351,1
22.926.352,1
18.525.525,1
19.950.605,1
19.504.696,1
17.767.432,1
19.833.682,1
18.024.853,1
19.058.511,1
19.633.898,1
19.010.211,1
18.503.343,1
2.102.497,1
22.285.024,1
17.188.754,1
19.799.054,1
21.849.705,1
18.306.615,1
2.190.012,1
21.853.826,1
25.196.214,1
19.717.249,1
14,1
28,1
56,1
51,1
44,1
61,1
15,1
52,1
22.038.327,1
21.243.142,1
22.142.432,1
21.491.055,1
1.988.036,1
18.540.535,1
18.766.033,1
18.871.794,1
18.164.768,1
18.216.032,1
22.851.834,1
19.724.106,1
21.376.426,1
21.996.523,1
20.147.114,1
1.986.997,1
20.225.396,1
20.254.534,1
18.535.075,1
23.501.249,1
22.717.943,1
17.469.417,1
19.091.346,1
17.758.315,1
19.084.317,1
19.408.999,1
18.988.581,1
1.921.164,1
18.874.591,1
18.038.422,1
21.813.083,1
18.068.767,1
21.084.625,1
22.396.504,1
22.329.041,1
18.909.439,1
21.274.628,1
21.997.683,1
20.552.695,1
20.244.359,1
19.673.262,1
1.959.904,1
19.052.833,1
19.665.881,1
19.758.286,1
22.422.674,1
20.242.237,1
16.928.791,1
16.613.108,1
18.595.614,1
18.525.834,1
1.972.925,1
17.405.104,1
18.128.249,1
17.521.754,1
16.834.813,1
17.729.923,1
22.867.719,1
25.380.557,1
2.714.823,1
19.314.429,1
18.288.205,1
19.007.177,1
22.637.018,1
1.891.505,1
23.444.286,1
19.773.303,1
20.345.161,1
34.799.519,1
18.006.742,1
22.998.709,1
19.931.667,1
18.372.563,1
21.478.496,1
20.406.066,1
20.519.916,1
20.971.429,1
21.287.999,1
19.376.997,1
23.018.443,1
22.209.706,1
21.798.856,1
1.997.981,1
18.424.941,1
19.407.204,1
19.483.036,1
16.496.978,1
17.377.131,1
16.611.837,1
17.080.493,1
21.529.439,1
23.035.829,1
21.837.996,1
22.547.298,1
20.744.839,1
22.033.129,1
21.125.098,1
17.580.627,1
1.996.247,1
19.220.108,1
20.172.661,1
17.491.272,1
19.054.008,1
1.706.713,1
19.272.573,1
17.764.764,1
22.970.655,1
38.952.866,1
36.631.456,1
21.996.118,1
23.154.311,1
19.955.257,1
18.741.188,1
33.185.661,1
31.965.402,1
34.231.083,1
34.176.795,1
37.642.177,1
38.097.395,1
22.649.792,1
55.022.494,1
20.670.975,1
2.182.165,1
25.113.537,1
27.757.187,1
21.473.078,1
41.743.333,1
18.181.821,1
21.997.335,1
19.684.891,1
477.061,1
17.997.009,1
17.971.786,1
31.662.814,1
32.241.587,1
33.151.905,1
21.380.336,1
30.357.745,1
19.565.496,1
19.749.627,1
23.335.391,1
31.540.751,1
18.850.466,1
19.005.725,1
35.719.457,1
34.993.835,1
33.070.142,1
17.039.058,1
33.954.433,1
20.432.717,1
34.647.036,1
25.472.995,1
24.362.124,1
21.333.429,1
34.098.174,1
37.275.298,1
24.320.154,1
22.989.846,1
21.123.048,1
30.022.598,1
32.610.018,1
32.787.101,1
2.120.563,1
34.432.669,1
22.730.414,1
21.384.259,1
39.392.569,1
23.806.789,1
35.456.326,1
18.198.322,1
25.035.915,1
30.079.371,1
21.001.282,1
2.195.994,1
19.795.269,1
19.090.023,1
23.586.058,1
22.882.558,1
23.603.191,1
22.988.004,1
2.545.763,1
1.916.097,1
17.689.057,1
26.208.134,1
23.629.159,1
31.264.628,1
26.591.628,1
2.394.003,1
24.190.896,1
22.980.957,1
22.185.756,1
22.087.056,1
20.820.455,1
24.347.414,1
19.462.713,1
21.951.309,1
43.510.672,1
25.994.746,1
26.004.294,1
18.260.079,1
18.312.665,1
19.089.595,1
21.098.035,1
24.733.308,1
29.506.287,1
37.524.551,1
209.859,1
176.739,1
37.631.769,1
37.832.949,1
22.277.859,1
21.214.617,1
21.948.577,1
22.865.018,1
19.442.663,1
36.726.617,1
38.297.259,1
30.163.408,1
28.770.039,1
43.591.999,1
29.881.301,1
2.943.879,1
16.913.841,1
16.129.279,1
22.591.026,1
21.008.051,1
22.582.371,1
22.771.612,1
3.796.543,1
38.148.845,1
23.887.569,1
22.975.526,1
22.836.315,1
22.518.787,1
47.283.374,1
42.337.283,1
21.504.943,1
18.267.696,1
35.432.059,1
25.706.285,1
37.356.288,1
22.596.576,1
21.196.152,1
24.079.524,1
22.679.935,1
22.654.316,1
4.231.607,1
43.604.901,1
31.386.405,1
18.178.023,1
39.759.575,1
30.551.762,1
26.042.738,1
25.929.746,1
45.821.267,1
39.585.811,1
23.807.181,1
33.864.257,1
22.754.646,1
23.252.906,1
22.025.438,1
18.086.772,1
20.825.962,1
21.669.478,1
20.586.978,1
23.779.235,1
26.271.621,1
39.135.634,1
40.951.591,1
22.061.461,1
35.389.491,1
2.172.127,1
23.365.649,1
40.317.787,1
22.661.556,1
31.315.593,1
37.955.371,1
40.821.515,1
25.994.393,1
33.009.285,1
27.349.745,1
18.011.718,1
32.774.488,1
20.392.665,1
35.217.173,1
38.825.189,1
28.583.944,1
22.591.439,1
21.403.421,1
29.956.198,1
31.327.609,1
2.118.354,1
31.793.937,1
20.880.161,1
21.793.724,1
21.180.346,1
19.774.317,1
18.052.394,1
18.003.153,1
19.506.389,1
19.685,1
22.154.854,1
19.108.796,1
2.070.768,1
20.634.694,1
26.595.893,1
34.389.906,1
2.519.291,1
23.285.553,1
2.294.313,1
25.632.447,1
19.027.574,1
17.570.089,1
28.830.558,1
24.108.711,1
31.333.798,1
25.461.411,1
23.884.212,1
24.679.807,1
22.909.992,1
22.869.778,1
22.052.152,1
18.014.333,1
32.278.869,1
24.657.598,1
22.828.435,1
24.284.861,1
29.463.168,1
18.721.041,1
210.285,1
21.979.769,1
21.814.653,1
19.576.682,1
22.814.657,1
21.538.225,1
29.153.907,1
21.009.437,1
21.929.387,1
19.627,1
1.997.166,1
20.534.606,1
31.166.572,1
29.934.465,1
22.018.228,1
26.288.417,1
23.455.324,1
19.637.203,1
22.239.836,1
1.725.813,1
17.099.015,1
19.755.797,1
19.621.545,1
19.179.932,1
17.992.717,1
16.370.009,1
19.858.973,1
39.214.514,1
22.766.227,1
34.772.902,1
23.252.457,1
16.240.576,1
17.807.828,1
17.420.269,1
22.874.658,1
3.162.638,1
5.524.625,1
34.543.563,1
21.808.159,1
29.216.019,1
28.167.799,1
34.204.611,1
28.824.194,1
24.122.589,1
19.126.145,1
17.441.593,1
28.977.792,1
24.751.511,1
23.728.707,1
18.118.277,1
2.406.894,1
22.944.349,1
20.492.077,1
19.443.639,1
20.843.363,1
34.821.442,1
30.711.381,1
21.709.159,1
55.137.881,1
34.970.367,1
20.986.834,1
38.378.056,1
37.492.444,1
19.027.417,1
37.205.173,1
33.049.121,1
22.675.679,1
38.384.177,1
1.888.485,1
17.894.784,1
46.491.859,1
19.149.706,1
19.821.996,1
33.182.127,1
34.044.229,1
39.170.029,1
25.293.202,1
21.082.384,1
2.218.881,1
31.484.494,1
31.398.281,1
21.378.039,1
17.178.483,1
18.701.766,1
17.971.574,1
50.832.559,1
19.671.876,1
18.951.144,1
18.863.875,1
34.288.249,1
31.426.573,1
34.369.686,1
33.690.239,1
37.496.175,1
38.464.538,1
23.469.538,1
2.167.315,1
25.483.381,1
28.770.852,1
42.189.023,1
34.389.679,1
330.816,1
22.087.389,1
33.270.448,1
43.238.402,1
23.384.374,1
34.281.681,1
34.204.408,1
19.911.246,1
24.444.846,1
24.911.994,1
30.553.097,1
33.015.258,1
21.027.662,1
29.695.603,1
19.223.259,1
19.703.095,1
2.332.012,1
34.243.146,1
18.549.437,1
36.310.292,1
23.664.709,1
